Metodo HTTP,Ruta del Endpoint,Descripción,Datos de entrada,Respuestas,API PÚBLICA/PRIVADA,Requiere Autenticación,Roles permitidos,Observaciones
GET,/api/categorias,Obtener todas las categorías,Ninguno,200: Lista de categorías,Privada,Sí,ADMIN, VENDEDOR,CLIENTE: 403
POST,/api/categorias,Crear categoría,JSON categoría,201: Categoría creada; 400: Error validación,Privada,Sí,ADMIN, VENDEDOR,CLIENTE: 403
GET,/api/productos,Obtener todos los productos,Ninguno,200: Lista de productos,Privada,Sí,ADMIN, VENDEDOR,CLIENTE: 403
GET,/api/productos/{id},Obtener producto por ID,Path: id,200: Producto; 404: No encontrado,Privada,Sí,ADMIN, VENDEDOR,CLIENTE: 403
POST,/api/productos,Crear producto,JSON producto,201: Producto creado; 400: Error validación,Privada,Sí,ADMIN, VENDEDOR,CLIENTE: 403
PUT,/api/productos/{id},Actualizar producto,Path: id, JSON producto,200: Producto actualizado; 404: No encontrado,Privada,Sí,ADMIN, VENDEDOR,CLIENTE: 403
DELETE,/api/productos/{id},Eliminar producto,Path: id,204: Sin contenido; 404: No encontrado,Privada,Sí,ADMIN, VENDEDOR,CLIENTE: 403
GET,/api/usuarios,Obtener todos los usuarios,Ninguno,200: Lista de usuarios,Privada,Sí,ADMIN,Otros: 403
GET,/api/usuarios/{id},Obtener usuario por ID,Path: id,200: Usuario; 404: No encontrado,Privada,Sí,ADMIN,Otros: 403
POST,/api/usuarios,Crear usuario,JSON usuario,201: Usuario creado; 400: Error validación,Privada,Sí,ADMIN,Otros: 403
PUT,/api/usuarios/{id},Actualizar usuario,Path: id, JSON usuario,200: Usuario actualizado; 404: No encontrado,Privada,Sí,ADMIN,Otros: 403
DELETE,/api/usuarios/{id},Eliminar usuario,Path: id,204: Sin contenido; 404: No encontrado,Privada,Sí,ADMIN,Otros: 403
GET,/api/boletas,Obtener todas las boletas,Ninguno,200: Lista de boletas,Privada,Sí,ADMIN, VENDEDOR, CLIENTE,Sin login: 401
POST,/api/boletas,Crear boleta,JSON boleta,201: Boleta creada; 400: Error validación,Privada,Sí,ADMIN, VENDEDOR, CLIENTE,Sin login: 401
GET,/api/detalles,Obtener todos los detalles,Ninguno,200: Lista de detalles,Privada,Sí,ADMIN, VENDEDOR, CLIENTE,Sin login: 401
POST,/api/detalles,Crear detalle,JSON detalle,201: Detalle creado; 400: Error validación,Privada,Sí,ADMIN, VENDEDOR, CLIENTE,Sin login: 401
POST,/api/pago/simular,Simular pago,JSON pago simulado,200: Resultado pago; 400: Error validación; 401: No autenticado,Privada,Sí,ADMIN, VENDEDOR, CLIENTE,Sin login: 401
POST,/api/auth/login,Login,JSON login (email, password),200: token, rol, nombre; 401: Credenciales inválidas,Pública,No,Todos,-
POST,/api/auth/register,Registro,JSON registro (nombre, email, password, rol),201: Usuario creado; 400: Correo ya registrado,Pública,No,Todos,-
